question,gold_answer,expected_policy,answer,sources
How are standard operating procedures managed?,SOPs are maintained and reviewed regularly,05-operations-policy.md,I can only answer questions about the company policies contained in the knowledge base.,01-company-overview.md; 05-operations-policy.md; 06-information-technology-policy.md
What is the password policy?,Passwords must comply with company security requirements,06-information-technology-policy.md,"I can only answer questions about the company policies contained in the knowledge base.  

The provided context does not include specific details about a password policy. While Source 4 mentions ""use MFA where supported,"" this refers to multi-factor authentication rather than password requirements. No other sources address password complexity, frequency of changes, storage, or other standard password policy elements.  

For password policy details, refer to the full IT policy document or additional security guidelines not included in this context.  

**Sources:**  
- [Source 4] (Device Standards)  
- [Source 5] (Acceptable Use)",06-information-technology-policy.md
Are employees allowed to install software?,Software installation requires authorization,06-information-technology-policy.md,"Employees are allowed to install software only if it is approved. Software installation requests must be submitted through the IT Service Desk, and approvals are required from the Employee Manager and IT Department. Applications handling confidential data must also undergo an Information Security review per OD-POL-007. Installing unauthorized software is explicitly prohibited [Source 2]. Personal use of company systems for software installation is permitted only if it complies with the Acceptable Use policy, such as not violating laws or creating security risks [Source 3]. 

**Sources:**  
[Source 1], [Source 2], [Source 3]",06-information-technology-policy.md
How should company devices be used?,Company devices must be used for approved business purposes,06-information-technology-policy.md,"Company devices should be used in accordance with the **Acceptable Use** policy outlined in **Source 2**. Employees are permitted to use company systems for limited personal activities, but such use must adhere to the following conditions:  
1. **Does not interfere with work** (Source 2).  
2. **Does not violate laws** (Source 2).  
3. **Does not create security risks** (Source 2).  
4. **Does not consume excessive resources** (Source 2).  

Additionally, all company devices must comply with the **Device Standards** policy (Source 1), which requires endpoint protection software, disk encryption, automatic updates, and multi-factor authentication (MFA) where supported. These standards ensure security and operational integrity.  

Employees must also respect **Asset Ownership** rules (Source 3), returning all company-issued technology assets upon separation from employment. Technology assets encompass laptops, mobile devices, cloud services, software licenses, email accounts, collaboration platforms, and network infrastructure (Source 4).  

For operational consistency, the **Purpose** section of the Operations Policy (Source 5) emphasizes aligning device usage with project execution and operational activities.  

**Answer cites:** Source 2 (Acceptable Use), Source 1 (Device Standards), Source 3 (Asset Ownership), Source 4 (Technology Assets), Source 5 (Purpose).",05-operations-policy.md; 06-information-technology-policy.md
How often must passwords be changed?,Passwords must be updated according to security policy,07-information-security-policy.md,"I can only answer questions about the company policies contained in the knowledge base.  

None of the provided documents (Source 1-5) specify requirements for password change frequency. The policies addressed include account deactivation, probationary periods, vacation leave, device standards, and bereavement leave, but none mention password expiration or update policies.  

Answer:  
""I can only answer questions about the company policies contained in the knowledge base.""",03-human-resources-policy.md; 04-compensation-benefits-policy.md; 06-information-technology-policy.md
What should employees do after identifying a phishing email?,Phishing attempts must be reported immediately,07-information-security-policy.md,"Employees should not forward confidential information externally (Source 1) and must report phishing emails to IT or cybersecurity teams to mitigate risks (Source 2). They should also follow the ""escalate issues early"" principle from Communication Principles (Source 3) to ensure proper handling. Additionally, confidentiality policies prohibit disclosing sensitive data, which includes reporting phishing attempts to protect internal information (Source 5). Training during onboarding (Source 4) likely covers these protocols. 

**Sources:**  
- Source 1: Email Usage policy prohibits forwarding confidential info.  
- Source 2: Information Security emphasizes cybersecurity responsibility.  
- Source 3: Communication Principles require early issue escalation.  
- Source 5: Confidentiality policy bans disclosure of sensitive data.  
- Source 4: Onboarding includes security awareness training.",01-company-overview.md; 02-code-of-conduct.md; 03-human-resources-policy.md; 06-information-technology-policy.md
How should security incidents be reported?,Security incidents must follow incident reporting procedures,07-information-security-policy.md,"I can only answer questions about the company policies contained in the knowledge base.  

The provided context does not specify a formal process for reporting security incidents. However, it does mention that concerns (which may include security-related issues) can be reported to a direct manager, Human Resources, or the Executive Office (Source 2). Additionally, employees are required to maintain confidentiality regarding security procedures (Source 4). For detailed guidance on security incident reporting, refer to the full Information Security Policy (OD-POL-007).  

No specific policy section in the provided context outlines steps for reporting security incidents.",01-company-overview.md; 02-code-of-conduct.md; 05-operations-policy.md
Can employees use AI tools for work?,Approved AI tools may be used according to AI governance guidelines,08-ai-governance-policy.md,"Employees are encouraged to responsibly leverage technology and artificial intelligence for work, as stated in the Innovation section (Source 1). The Artificial Intelligence Office oversees AI governance and standards (Source 2), ensuring responsible use. Additionally, the Acceptable Use policy (Source 4) allows limited personal use of company systems, provided it does not interfere with work, violate laws, create security risks, or consume excessive resources. Since AI tools fall under company technology resources, their use for work must comply with these guidelines. Thus, employees may use AI tools for work, provided they adhere to the outlined policies and standards. 

Citations: Source 1, Source 2, Source 4.",01-company-overview.md; 06-information-technology-policy.md
Can confidential data be entered into public AI systems?,Confidential data must not be shared with unauthorized AI services,08-ai-governance-policy.md,"Confidential data cannot be entered into public AI systems. The company's policies explicitly prohibit disclosing confidential information, including customer and financial data, and restrict the use of unapproved cloud storage services (Source 1, Source 4). While approved AI platforms are permitted (Source 4), public AI systems are not explicitly listed as approved. Additionally, applications handling confidential data require an Information Security review (Source 2). Since public AI systems likely fall outside approved platforms and pose risks of data exposure, entering confidential data into them would violate confidentiality and security policies. 

Answer cites: Source 1, Source 2, Source 4.",01-company-overview.md; 02-code-of-conduct.md; 06-information-technology-policy.md
Who approves new AI tools?,AI tools require approval under governance procedures,08-ai-governance-policy.md,"It seems your message is a repetitive and circular attempt to describe a process involving the AI Office and IT Department, but it lacks clarity and a clear question or objective. To help you effectively, could you please clarify what you're asking or what you need assistance with? For example:

- Are you trying to understand a specific workflow or approval process?
- Do you need guidance on how to structure a policy or procedure?
- Are you looking for help with a technical issue related to AI or IT systems?

Once you provide more context, I can offer a precise and helpful response.",01-company-overview.md; 05-operations-policy.md; 06-information-technology-policy.md
How is personal employee data protected?,Personal data must be handled according to privacy requirements,09-data-privacy-policy.md,"I can only answer questions about the company policies contained in the knowledge base.  

The provided context does not include specific policies regarding the protection of personal employee data. The referenced documents address confidentiality, acceptable use of systems, social media conduct, data backup, and prohibited activities, but none explicitly outline measures for safeguarding personal employee information.  

Sources:  
- [Source 1](#source-1)  
- [Source 2](#source-2)  
- [Source 3](#source-3)  
- [Source 4](#source-4)  
- [Source 5](#source-5)",02-code-of-conduct.md; 06-information-technology-policy.md
What should be done in the event of a data breach?,Data breaches must be reported and managed according to policy,09-data-privacy-policy.md,"In the event of a data breach, employees must immediately escalate the incident as it constitutes a critical business disruption (Source 2). The Business Continuity Policy (OD-POL-014) should be followed to ensure data backup and recovery procedures are enacted (Source 1). Additionally, confidentiality protocols from the Information Security Policy (OD-POL-007) must be strictly adhered to, preventing unauthorized disclosure of financial, customer, or security-related information (Source 4). Prohibited activities, such as sharing credentials or disabling security tools, must also be avoided to mitigate further risks (Source 5). These steps align with the company’s policies to address breaches promptly and securely. 

Sources: Source 1, Source 2, Source 4, Source 5.",01-company-overview.md; 02-code-of-conduct.md; 05-operations-policy.md; 06-information-technology-policy.md
How are employee expenses reimbursed?,Expense reimbursements follow finance procedures,10-finance-policy.md,"I can only answer questions about the company policies contained in the knowledge base.  

The provided context specifies reimbursement policies for specific expenses:  
- **Internet Allowance**: Remote employees receive monthly internet reimbursement (Source 1).  
- **Training Allowance**: Employees get a yearly training allowance for learning and development (Source 2).  

No general policy for reimbursing all employee expenses is explicitly stated in the provided documents.",03-human-resources-policy.md; 04-compensation-benefits-policy.md
Who approves company expenditures?,Company expenditures require proper authorization,10-finance-policy.md,"The approval of company expenditures depends on the amount and nature of the expenditure. **CEO approval is required for contracts exceeding ₱1,000,000** (Source 1). **Department heads may approve routine operational decisions within their authorized budgets** (Source 1). The **Finance department is responsible for budgeting, procurement, and financial reporting**, which includes overseeing expenditures (Source 3). For larger or strategic expenditures, such as organizational restructuring or annual budgets, CEO approval is mandatory (Source 1). Routine expenditures within departmental budgets are handled by department heads. The **Executive Office reviews document ownership policies annually**, ensuring compliance with expenditure protocols (Source 5). 

For clarity:  
- **CEO**: Contracts > ₱1M, strategic initiatives, annual budgets, restructuring.  
- **Department Heads**: Routine operational decisions within budget limits.  
- **Finance**: Manages budgeting, procurement, and financial reporting.  

Citations: Source 1, Source 3, Source 5.",01-company-overview.md; 06-information-technology-policy.md
Can employees work remotely?,Remote work is permitted under approved arrangements,12-remote-work-policy.md,"Employees may work remotely, as remote employees are eligible for monthly internet reimbursement under the Internet Allowance policy. This policy acknowledges the allowance of remote work arrangements. 

**Source:** [Source 2]",01-company-overview.md; 02-code-of-conduct.md; 04-compensation-benefits-policy.md; 06-information-technology-policy.md
